CloudKit,,,,
CloudKit entitlement saknas. Kontakta utvecklaren.,,,,
CloudKit-synkning,,,,
cm,,cm,translated,
Color Scheme,,Färgschema,translated,
Companion,,,,
Conditioning/Metcon,,Kondition/Metcon,translated,
Connect health data,,Hämta hälsodata,translated,
Continue,,Fortsätt,translated,
Continue without program,,,,
crunch,Crunch,Crunches,translated,
Customize app appearance,,Anpassa appens utseende,translated,
Dags för uppvärmning!,,,,
Daily Step Goal,,Dagligt stegmål,translated,
Dark,,Mörk,translated,
Date,,,,
Date of Birth,,Födelsedatum,translated,
Datum,,,,
Day,,Dag,translated,
Deadlift,,Marklyft,translated,
December,,December,translated,
Deltar,,,,
"Detta gym har än så länge inte verifierat utrustningen, därav är det inte valbart i gymlistan. Om du befinner dig på gymmet kan du lägga till det som nytt gym, men då måste du välja vilken utrustning som finns tillgänglig.",,,,
Detta kommer att återställa onboarding och du kommer att behöva gå igenom onboarding igen.,,,,
Detta kommer att sätta din räknare till Pass 1. Dina befintliga träningsprogram raderas inte.,,,,
Detta pass har inga övningar ännu,,,,
Detta pass verkar inte ha några övningar. Avsluta passet och prova att synka om.,,,,
Dev,,,,
dev@test.com,,,,
Din träningskompanjon,,,,
din@epost.se,,,,
Distans,,,,
Distribute 100% between your training goals,,Fördela 100% mellan dina träningsmål,translated,
Ditt program har lägst fokus på **%@**. Överväg att lägga till en övning för denna muskelgrupp för en mer balanserad fysik.,,,,
Done,,Klar,translated,
Du ansvarar själv för att:,,,,
Du har genomfört hela ditt träningspass!,,,,
dumbbell_press,Dumbbell Press,Hantelpress,translated,
dumbbell_row,Dumbbell Row,Hantelrodd,translated,
dumbbells,Dumbbells,Hantlar,translated,
"e.g. Rowing, Boxing...",,,,
Eat protein within 2 hours after training,,,,
Ej synkad,,,,
Ej tillgänglig,,,,
Elite,,Elit,translated,
Endast utvecklare har tillgång till denna vy.,,,,
Endurance,,Uthållighet,translated,
Engelska,English,Engelska,translated,
Enter address,,Ange adress,translated,
Enter gym name,,Ange gymnamn,translated,
Enter your sport,,,,
Entered age (%lld years) is higher than normal. Please check your value.,,,,
Entered age (%lld years) is lower than normal. Please check your value.,,,,
Entered height (%lld cm) is higher than normal. Please check your value.,,,,
Entered height (%lld cm) is lower than normal. Please check your value.,,,,
Entered weight (%lld kg) is higher than normal. Please check your value.,,,,
Entered weight (%lld kg) is lower than normal. Please check your value.,,,,
Equipment verified,,,,
Error,,,,
Explosiveness,,Explosivitet,translated,
Export Exercises,,,,
Extra Focus,,Extra fokus,translated,
ez_bar,EZ Bar,EZ-stång,translated,
face_pull,Face Pull,Face Pulls,translated,
Färgschema,,,,
February,,Februari,translated,
Fel,,,,
Female,,Kvinna,translated,
Finalizing program...,,,,
Finalizing...,,,,
Finding gyms...,,,,
Finish,,Slutför,translated,
Fitness,,,,
Focus,,,,
"Förbättra ork, kondition och vardagsenergi.","Improve stamina, fitness and energy.","Förbättra ork, kondition och vardagsenergi.",translated,
Fördelning av set baserat på dina programmallar.,,,,
Försök igen,,,,
Försöka igen,Try Again,Försöka igen,translated,
Fortsätt,Continue,Fortsätt,translated,
Fortsätt med Google,,,,
found,,,,
Free Weights,,Frivikter,translated,
Friday,,,,
Gå ner i vikt,Lose Weight,Gå ner i vikt,translated,
Gå ner i vikt och förbättra din hälsa.,Lose weight and improve your health.,Gå ner i vikt och förbättra din hälsa.,translated,
Gå vidare,Continue,Gå vidare,translated,
Gender,,Kön,translated,
Generate new program,,,,
Generating workout program...,,,,
Generating your new program...,,,,
Generating your program...,,,,
Generating your workout program...,,,,
Generation failed,,,,
Generera ett träningsprogram för att komma igång,,,,
Generera nytt program,Generate New Program,Generera nytt program,translated,
Genom att fortsätta går du med på,,,,
Genom att skapa ett konto eller använda RepCompanion godkänner du dessa villkor.,,,,
Genomför ditt första pass för att se historik här,Complete your first session to see history here,Genomför ditt första pass för att se historik här,translated,
Genomsnittlig puls,,,,
Gick inte att hämta analys,Could not fetch analysis,Gick inte att hämta analys,translated,
Godkänn,Approve,Godkänn,translated,
Godkänn övningar & utrustning,Approve exercises & equipment,Godkänn övningar & utrustning,translated,
Gym Details,,Gymdetaljer,translated,
Gym ej verifierat,,,,
Gym Information,,,,
Gym Name,,Gymnamn,translated,
Gym Namn (t.ex. Mitt Gym),,,,
Hälsodata,Health Data,Hälsodata,translated,
Hälsodata ansluten,Health Data Connected,Hälsodata ansluten,translated,
Hälsointegration,Health Integration,Hälsointegration,translated,
Hälsotrender,Health Trends,Hälsotrender,translated,
hanging_leg_raise,Hanging Leg Raise,Hängande Benlyft,translated,
Hantera träningspass,Manage Workouts,Hantera träningspass,translated,
Här är en sammanfattning av det du hann med.,Here is a summary of what you accomplished.,Här är en sammanfattning av det du hann med.,translated,
Health & Lifestyle,,,,
Health data imported,,Hälsodata hämtat,translated,
Health data imported. You can manually edit the values in the next step,,Hälsodata hämtat. Du kan ändra värdena manuellt på nästa steg,translated,
HealthKit,,,,
HealthKit-fel,,,,
Height,,Längd,translated,
Height (cm),,Längd (cm),translated,
Height exceeds 253 cm. Please check your value.,,Längd överstiger 253 cm. Vänligen kontrollera ditt angivna värde.,translated,
Height is below 90 cm. Please check your value.,,,,
Hem,,,,
High traffic - taking a bit longer than usual,,Många tränar just nu – det tar lite längre tid än vanligt,translated,
High traffic right now...,,Många tränar just nu...,translated,
"High traffic... Program is generating, please wait. This can take up to 2 minutes.",,"Programmet genereras, vänta lite. Detta kan ta upp till 2 minuter.",translated,
Historik,,,,
Hitta i närheten,Find Nearby,Hitta i närheten,translated,
Hoppa över,Skip,Hoppa över,translated,
Hoppa till nästa övning,Skip to next exercise,Hoppa till nästa övning,translated,
HRV,,,,
Hur kändes passet? Något att komma ihåg till nästa gång?,How did the session feel? Something to remember for next time?,Hur kändes passet? Något att komma ihåg till nästa gång?,translated,
Hypertrophy,,Hypertrofi,translated,
Identifierad utrustning:,,,,
Import from Apple Health,,Hämta från Apple Health,translated,
Import health data,,Hämta hälsodata,translated,
Improve Mobility,,Bli rörligare,translated,
"Improve stamina, fitness and energy.",,"Förbättra ork, kondition och vardagsenergi.",translated,
Inaktiverad,,,,
Inblick,,,,
"Increase mobility, reduce stiffness and prevent injury.",,"Öka rörlighet, minska stelhet och förebygg skador.",translated,
Increase weight gradually each week,,,,
Information,,,,
Inga gym,,,,
Inga övningar,No exercises,Inga övningar,translated,
Inga övningar hittades,No exercises found,Inga övningar hittades,translated,
Inga personbästa än,No personal records yet,Inga personbästa än,translated,
Inga träningsprogram,No training programs,Inga träningsprogram,translated,
Inga väntande övningar,No pending exercises,Inga väntande övningar,translated,
Ingen data ännu,No data yet,Ingen data ännu,translated,
Ingen historik än,No history yet,Ingen historik än,translated,
Ingen träningshistorik än,No training history yet,Ingen träningshistorik än,translated,
Ingen utrustning vald. Detta gym kommer endast att stödja kroppsviktsövningar.,No equipment selected. This gym will only support bodyweight exercises.,Ingen utrustning vald. Detta gym kommer endast att stödja kroppsviktsövningar.,translated,
Ingen väntande utrustning,No pending equipment,Ingen väntande utrustning,translated,
Inget gym valt,,,,
Inställningar,Settings,Inställningar,translated,
Instruktioner,,,,
Intermediate,,Van,translated,
"Ja, baserat på mitt program","Yes, based on my program","Ja, baserat på mitt program",translated,
"Ja, kör!","Yes, let's go!","Ja, kör!",translated,
"Ja, uppdatera alla",,,,
Jag godkänner våra Villkor & Sekretesspolicy för att ta emot skräddarsydda erbjudanden från våra samarbetspartners samt träningsrelaterad marknadsföring.,,,,
January,,Januari,translated,
July,,Juli,translated,
June,,Juni,translated,
Känner igen utrustning...,Recognizing equipment...,Känner igen utrustning...,translated,
kettlebell,Kettlebell,Kettlebell,translated,
kettlebells,Kettlebells,Kettlebells,translated,
Key,,,,
kg,,,,
Kg,,,,
Klar,Done,Klar,translated,
Kolla din e-post!,Check your email!,Kolla din e-post!,translated,
Kräver Apple Watch för aktivitet,Requires Apple Watch for activity,Kräver Apple Watch för aktivitet,translated,
Kräver Apple Watch för HRV,Requires Apple Watch for HRV,Kräver Apple Watch för HRV,translated,
Kräver Apple Watch för kondition,Requires Apple Watch for cardio,Kräver Apple Watch för kondition,translated,
Kräver Apple Watch för träning,Requires Apple Watch for workout,Kräver Apple Watch för träning,translated,
Kräver Apple Watch för vilopuls,Requires Apple Watch for resting heart rate,Kräver Apple Watch för vilopuls,translated,
Kunde inte aktivera HealthKit. Kontrollera att appen har behörighet i Inställningar.,Could not enable HealthKit. Please check permissions in Settings.,Kunde inte aktivera HealthKit. Kontrollera att appen har behörighet i Inställningar.,translated,
Kunde inte aktivera notifikationer. Kontrollera att appen har behörighet i Inställningar.,Could not enable notifications. Please check permissions in Settings.,Kunde inte aktivera notifikationer. Kontrollera att appen har behörighet i Inställningar.,translated,
Laddar övningar...,Loading exercises...,Laddar övningar...,translated,
Lägg till,Add,Lägg till,translated,
Lägg till ditt första gym för att komma igång.,Add your first gym to get started.,Lägg till ditt första gym för att komma igång.,translated,
Lägg till övning,Add Exercise,Lägg till övning,translated,
Lat Pulldown,Lat Pulldown,Lat Pulldown,translated,
lat_pulldown,Lat Pulldown,Latsdrag,translated,
leg_curl,Leg Curl,Lårcurl,translated,
leg_extension,Leg Extension,Benspark,translated,
leg_press,Leg Press,Benpress,translated,
Level,,Nivå,translated,
Light,,Ljus,translated,
Loading equipment list...,,Laddar utrustningslista...,translated,
Loading equipment...,,Hämtar utrustning...,translated,
Log Out,,Logga ut,translated,
Logga,,Logga,translated,
Logga in,,Logga in,translated,
Logga in med Magic Link,,Logga in med Magic Link,translated,
Logga övningar för att se dina PBs här,Log exercises to see your PBs here,Logga övningar för att se dina PBs här,translated,
Logga övningar för att se progression,Log exercises to see progression,Logga övningar för att se progression,translated,
Logga set,,Logga set,translated,
Lose weight,,Gå ner i vikt,translated,
Lose weight and improve your health.,,Gå ner i vikt och förbättra din hälsa.,translated,
machine,Machine,maskin,translated,
Machines,,Maskiner,translated,
Mål,Goal,Mål,translated,
Male,,Man,translated,
March,,Mars,translated,
Max vikt,,Max vikt,translated,
Max: %@ kg,,Max: %@ kg,translated,
Maximera din träning!,Maximize your training!,Maximera din träning!,translated,
May,,Maj,translated,
Medium,,Medium,translated,
Min/session,,Min/session,translated,
Mina Gym,,Mina Gym,translated,
Mobility,,Bli rörligare,translated,
Monday,,Måndag,translated,
Month,,Månad,translated,
Muskelbalans,,Muskelbalans,translated,
Muskelgrupper,,Muskelgrupper,translated,
Muskler: %@,,Muskler: %@,translated,
My Gym,,Mitt gym,translated,
Name,,Namn,translated,
Nästa,Next,Nästa,translated,
Nearby gyms,,Gym nära dig,translated,
"Nej, bara detta set",,"Nej, bara detta set",translated,
"Nej, hoppa över","No, skip","Nej, hoppa över",translated,
New to training or returning after a long break,,Ny till träning eller återkommer efter lång paus,translated,
Next,,Nästa,translated,
No equipment found.,,Ingen utrustning hittades.,translated,
No gyms found nearby. Try increasing search distance.,,Inga gym hittades i närheten. Prova att öka sökavståndet.,translated,
No health data found. You can manually fill in the values in the next step,,Inga hälsodata hittades. Du kan fylla i värdena manuellt på nästa steg,translated,
Nollställ,Reset,Nollställ,translated,
Nollställ räknaren för ditt nuvarande program.,Reset the counter for your current program.,Nollställ räknaren för ditt nuvarande program.,translated,
Normal weight,,Normalvikt,translated,
Notifikationer,,Notifikationer,translated,
Notifikationsfel,,Notifikationsfel,translated,
November,,November,translated,
Nutrition,,,,
Nuvarande,,Nuvarande,translated,
"Oavsett om du vill gå ner i vikt, rehabilitera en skada eller träna för ishockey, hjälper vi dig med rätt fokus.",,,,
Obese,,Fetma,translated,
October,,Oktober,translated,
OK,,,,
"Öka rörlighet, minska stelhet och förebygg skador.","Increase mobility, reduce stiffness and prevent injury.","Öka rörlighet, minska stelhet och förebygg skador.",translated,
One Rep Max (1RM),,Maxvikt (1RM),translated,
Optimizing schedule...,,Optimerar schema...,translated,
Optional - helps us adapt weights,,Valfritt - hjälper oss att anpassa vikter,translated,
Or choose manually below,,Eller välj manuellt nedan,translated,
Or enter manually,,Eller ange manuellt,translated,
Or select manually,,Eller välj manuellt,translated,
Other,,Annan,translated,
Overhead Press,,Stående press,translated,
overhead_press,Overhead Press,Militärpress,translated,
Övervaka din utveckling över tid,Monitor your progress over time,Övervaka din utveckling över tid,translated,
Overweight,,Övervikt,translated,
Övning %lld av %lld,Övning %1$lld av %2$lld,Övning %lld av %lld,translated,
Övningar,Exercises,Övningar,translated,
Övningskatalog,Exercise Catalog,Övningskatalog,translated,
Övningsstatistik,Exercise Statistics,Övningsstatistik,translated,
Pågående Pass,Current Session,Pågående Pass,translated,
Pass %lld/%lld,Pass %1$lld/%2$lld,Pass %lld/%lld,translated,
Pass avslutat,,Pass avslutat,translated,
Pass denna vecka,,Pass denna vecka,translated,
Pass per vecka: %lld,,Pass per vecka: %lld,translated,
Passdetaljer,,Passdetaljer,translated,
Passlängd: %lld minuter,Session length: %lld minutes,Passlängd: %lld minuter,translated,
Pausa & Stäng,Pause & Close,Pausa & Stäng,translated,
Period,,Period,translated,
Personal Information,,Personlig information,translated,
Personal tips,,Personliga tips,translated,
Personal Training Program,,Personligt träningsprogram,translated,
Personalized advice for your training,,Personliga råd för din träning,translated,
Personbästa,Personal Records,Personbästa,translated,
plank,Plank,Plankan,translated,
plyo_box,Plyo Box,Plyo Box,translated,
Preparing data...,,,,
Preparing your workout program...,,Förbereder ditt träningsprogram…,translated,
Prestera i sport,Sports Performance,Prestera i sport,translated,
Primära,Primary,Primära,translated,
Privata gym sparas endast för dig.,Private gyms are saved only for you.,Privata gym sparas endast för dig.,translated,
Processing...,,,,
Professional or competitive athlete,,Professionell eller tävlingsidrottare,translated,
Profil,,Profil,translated,
Program,,Program,translated,
Program generated!,,Program skapat!,translated,
"Program generation did not succeed at this time.

Do you want to try again or continue without a program?",,´,translated,
"Program generation did not succeed at this time. %@

Do you want to try again or continue without a program?",,,,
Program generation failed,,,,
Program generation failed.,,,,
Program generation took too long. Please try again.,,,,
Programgenerering misslyckades,Program Generation Failed,Programgenerering misslyckades,translated,
Programhantering,,,,
Public Gym,,Publikt gym,translated,
Publikt gym,,,,
pull_up,Pull Up,Chins,translated,
pull_up_bar,Pull-up Bar,Chinsräcke,translated,
Push-notifikationer,,,,
Queuing program generation...,,,,
rack,Squat Rack,Skivstångsställning,translated,
Racks/Rigs,,Rack/Rigg,translated,
Radera allt och börja om?,Delete everything and start over?,Radera allt och börja om?,translated,
Recover from injury or illness.,,Återhämta dig efter skada eller sjukdom.,translated,
Redigera,,,,
Redigera pass,,,,
Registrera utrustning,,,,
Rehab/Recovery,,Rehab/Återhämtning,translated,
Rehabilitation,,Rehabilitering,translated,
Rehabilitering,Rehabilitation,Rehabilitering,translated,
Reklam och affiliate-länkar:,,,,
Rep,,,,
"RepCompanion är en tränings- och planeringsapp som tillhandahåller generell information, vägledning och förslag kring träning och fysisk aktivitet. Innehållet i appen är avsedd för informations- och inspirationssyfte och utgör inte medicinsk rådgivning eller professionell behandling.",,,,
RepCompanion är ett enkelt och smart verktyg som hjälper dig att sätta ihop ett träningsupplägg som passar just dina mål och din vardag.,,,,
"RepCompanion innehåller annonser och samarbeten med tredjepartsföretag. Detta innebär att appen kan visa reklam, erbjudanden eller länkar till produkter och tjänster.",,,,
"RepCompanion värnar om din integritet och hanterar personuppgifter i enlighet med gällande dataskyddslagstiftning, inklusive GDPR.",,,,
Repetitioner,,,,
Reps,,,,
Reps (t.ex. 8-12),,,,
Reset,,,,
Rest,,,,
Rest at least one day between intense sessions,,,,
russian_twist,Russian Twist,Russian Twist,translated,
Sammanfattning,,,,
Saturday,,,,
Scan equipment,,Skanna utrustning,translated,
Scan Equipment,,Skanna utrustning,translated,
Se dina hälsomätvärden över tid,See your health metrics over time,Se dina hälsomätvärden över tid,translated,
Search Distance,,Sökavstånd,translated,
Search for nearby gyms,,Sök efter gym i närheten,translated,
seated_row,Seated Row,Sittande Rodd,translated,
Sekretess & Dataskydd,,,,
Sekretesspolicy,,,,
Sekundära,Secondary,Sekundära,translated,
sekunder kvar,,,,
Select Equipment,,Välj utrustning,translated,
Senast synkad: %@,,,,
September,,September,translated,
Service Tests,,,,
Session duration: %lld minutes,,Passlängd: %lld minuter,translated,
sessioner,,,,
Sessions,,,,
Sessions per week: %lld,,Pass per vecka: %lld,translated,
Sessions/week,,,,
Set,,,,
Set %lld/%lld,Set %1$lld/%2$lld,,new,
Set 1,,,,
Set 2,,,,
Set avklarat,,,,
Set your daily step goal to track your activity,,Ställ in ditt dagliga stegmål för att spåra din aktivitet,translated,
Set: %lld,,,,
Sex,,,,
Skanna utrustning,,,,
Skapa program för gymmet?,Create program for this gym?,Skapa program för gymmet?,translated,
Skicka Magic Link,,,,
Sleep 7-9 hours per night for optimal recovery,,,,
Slutför,Finish,Slutför,translated,
Slutför träningspass,Finish Workout,Slutför träningspass,translated,
smith_machine,Smith Machine,Smithmaskin,translated,
Snitt,,,,
Snitt: %@ kg,,,,
Social,,,,
Sök gym i närheten,Search nearby gyms,Sök gym i närheten,translated,
Sök övning,Search exercise,Sök övning,translated,
Sök övningar...,Search exercises...,Sök övningar...,translated,
Sök video,Search video,Sök video,translated,
Sömn (senaste natten),Sleep (last night),Sömn (senaste natten),translated,
Sömn:,Sleep:,Sömn:,translated,
Spara,,,,
Spara ändringar,Save Changes,Spara ändringar,translated,
Specific Sport,,Specifik idrott,translated,
Sports performance,,Prestera i sport,translated,
Squat,,Knäböj,translated,
Standard location,,,,
Stäng,Close,Stäng,translated,
Starta pass,,,,
Statistik,,,,
Status,,,,
Steg idag,,,,
steps,,steg,translated,
Strength,,Styrka,translated,
Styrkeutveckling,,,,
Sunday,,,,
Svenska,Swedish,Svenska,translated,
"Synka automatiskt träningsdata, steg, sömn och återhämtning från dina hälsoplattformar.","Automatically sync workout data, steps, sleep and recovery from your health platforms.","Synka automatiskt träningsdata, steg, sömn och återhämtning från dina hälsoplattformar.",translated,
Synka hälsodata,Sync Health Data,Synka hälsodata,translated,
Synka med HealthKit för att se data,Sync with HealthKit to see data,Synka med HealthKit för att se data,translated,
Synka nu,,,,
Synka övningskatalog,Sync Exercise Catalog,Synka övningskatalog,translated,
Synka till Watch (Debug),,,,
Synkad,,,,
Synkar övningskatalog...,Syncing exercise catalog...,Synkar övningskatalog...,translated,
Synkning,,,,
Synkning slutförd,Sync complete,Synkning slutförd,translated,
System,,,,
Ta bort,,,,
Ta bort alla program och gym för att börja om helt.,Delete all programs and gyms to start over completely.,Ta bort alla program och gym för att börja om helt.,translated,
Ta om,,,,
Tags that refine your programming (max 3),,Taggar som finjusterar din träning (max 3),translated,
Technique,,Teknik,translated,
Test CloudKit,,,,
Test HealthKit,,,,
Test Results,,,,
The program is ready but could not be loaded. Please try opening the app again.,,,,
The values above are suggestions based on your profile. You can change them if you know your exact 1RM values.,,Värdena ovan är förslag baserat på din profil. Du kan ändra dem om du vet dina exakta 1RM-värden.,translated,
This can take up to 2 minutes. Please be patient...,,Detta kan ta upp till 2 minuter. Ha lite tålamod...,translated,
This helps us adapt the program,,Detta hjälper oss att anpassa programmet,translated,
This may take a moment. Analyzing your new goals and equipment.,,,,
Thursday,,,,
Tillbaka,Back,Tillbaka,translated,
Topplista,,,,
Topplista kommer snart,,,,
Total aktivitet:,,,,
Total återhämtning:,Total recovery:,Total återhämtning:,translated,
Total volym: %@,,,,
Total: %d%%,,Totalt: %d%%,translated,
Total: %lld%%,,,,
Train to perform better in your sport.,,Träna för att prestera bättre i din sport.,translated,
Trained consistently for 2+ years,,Tränat konsekvent i 2+ år,translated,
Trained regularly for 6+ months,,Tränat regelbundet i 6+ månader,translated,
Training Frequency,,Träningsfrekvens,translated,
Training Goals,,Träningsmål,translated,
Träna för att prestera bättre i din sport.,Train to perform better in your sport.,Träna för att prestera bättre i din sport.,translated,
Träningsfrekvens,Training Frequency,Träningsfrekvens,translated,
Träningshistorik,Workout History,Träningshistorik,translated,
Träningsmål,Training Goals,Träningsmål,translated,
Träningspass:,Workouts:,Träningspass:,translated,
Träningsprogram,Workout Program,Träningsprogram,translated,
Träningspuls,Workout Heart Rate,Träningspuls,translated,
Träningsstatistik,Training Statistics,Träningsstatistik,translated,
trap_bar,Trap Bar,Trap Bar,translated,
Trappor,,,,
Trend,,,,
tricep_pushdown,Tricep Pushdown,Triceps Pushdown,translated,
Try again,,,,
Tuesday,,,,
Typ,,,,
Underweight,,Undervikt,translated,
Uppdatera återstående set?,Update remaining sets?,Uppdatera återstående set?,translated,
Uppvärmning,Warmup,Uppvärmning,translated,
Utmaningar,,,,
Utrustning,,,,
UTRUSTNING SOM BEHÖVS,EQUIPMENT NEEDED,UTRUSTNING SOM BEHÖVS,translated,
Utrustning: %@,,,,
Vad är ditt primära träningsmål?,What is your primary training goal?,Vad är ditt primära träningsmål?,translated,
Validating program...,,,,
Välj annat gym,Choose another gym,Välj annat gym,translated,
Välj ett gym för att komma igång,Select a gym to get started,Välj ett gym för att komma igång,translated,
Välj mätvärde,Select metric,Välj mätvärde,translated,
Välj som aktivt gym,Select as active gym,Välj som aktivt gym,translated,
Välj språk,Select Language,Välj språk,translated,
Välj Tema,Choose Theme,Välj Tema,translated,
Välj utrustning,Select Equipment,Välj utrustning,translated,
Välkommen!,Welcome!,Välkommen!,translated,
Value,,,,
Väntar,Waiting,Väntar,translated,
Värde,Value,Värde,translated,
Veckosammanfattning,,,,
Vi har skickat en inloggningslänk till **%@**. Klicka på länken i mejlet för att logga in.,,,,
Vi skickar en länk till din e-post som loggar in dig direkt. Inget lösenord behövs!,,,,
Videoinstruktion,,,,
Vikt,,,,
Vikt (kg),,,,
Viktprogression,,,,
Vila innan nästa set,Rest before next set,Vila innan nästa set,translated,
Vilken information vi samlar in:,,,,
Vill du avvisa detta objekt? Du kan ange en anledning.,,,,
"Vill du pausa passet för att fortsätta senare, eller avsluta det helt?","Do you want to pause the session to continue later, or finish it completely?","Vill du pausa passet för att fortsätta senare, eller avsluta det helt?",translated,
Vill du skapa ett träningsupplägg för detta gym baserat på ditt nuvarande program? Övningarna anpassas efter tillgänglig utrustning.,Do you want to create a workout plan for this gym based on your current program? Exercises will be adapted to available equipment.,Vill du skapa ett träningsupplägg för detta gym baserat på ditt nuvarande program? Övningarna anpassas efter tillgänglig utrustning.,translated,
Vill du starta %@s pass idag?,,,,
Vill du starta passet idag?,,,,
Vill du tillämpa dessa värden på alla återstående set för denna övning i detta pass?,Do you want to apply these values to all remaining sets for this exercise in this session?,Vill du tillämpa dessa värden på alla återstående set för denna övning i detta pass?,translated,
Villkor,,,,
Villkor & Sekretess,,,,
Vilopuls,,,,
Visa,,,,
Visa alla,,,,
VO₂ Max,,,,
Volume,,Volym,translated,
"We can import your weight, height and age from Apple Health",,"Vi kan hämta din vikt, längd och ålder från Apple Health",translated,
We need some information about you to adapt your training,,,,
Wednesday,,,,
Week,,,,
Weight,,Vikt,translated,
Weight (kg),,Vikt (kg),translated,
Weight exceeds 330 kg. Please check your value.,,Vikt överstiger 330 kg. Vänligen kontrollera ditt angivna värde.,translated,
Weight is below 18 kg. Please check your value.,,Vikt understiger 18 kg. Vänligen kontrollera ditt angivna värde.,translated,
Weight Loss,,Viktminskning,translated,
What is your primary training goal?,,Vad är ditt primära träningsmål?,translated,
What is your training level?,,Vilken är din träningsnivå?,translated,
Where will you be training?,,Var kommer du att träna?,translated,
Which sport are you training for?,,Vilken sport tränar du för?,translated,
Year,,År,translated,
Your training plan is still being generated. We appreciate your patience!,,Din träningsplan genereras fortfarande. Vi uppskattar ditt tålamod!,translated,
